p_tensione[V],g_tensione[V],p_count,g_count,pg_doppie,tempo[min],p_threshold[mV],g_threshold[mV]
728,875,4126,8163,3276,3,62,22
728,875,3304,8129,2573,3,69,22
728,875,2561,8133,2008,3,76,22
728,875,1897,7955,1467,3,83,22
728,875,1473,8095,1128,3,90,22
728,875,1268,8187,965,3,97,22
728,875,1230,5564,918,3,97,35
728,875,1508,5544,1146,3,90,35
728,875,1942,5599,1451,3,83,35
728,875,2652,5672,2035,3,76,35
728,875,3242,5596,2476,3,69,35
728,875,3956,5400,3003,3,62,35
728,875,4840,5645,3751,3,55,35
728,875,4779,4817,3462,3,55,45
728,875,3998,4822,2952,3,62,45
728,875,3282,4831,2415,3,69,45
728,875,2460,4791,1789,3,76,45
728,875,1944,4826,1388,3,83,45
728,875,1514,4968,1087,3,90,45
728,875,1222,4901,886,3,97,45
728,875,972,4850,688,3,104,45
728,875,734,4776,517,3,111,45
728,875,628,4916,438,3,118,45
728,875,521,4858,342,3,125,45
728,875,421,4870,271,3,132,45
728,875,535,4874,229,3,139,45
728,875,538,4971,192,3,146,45
728,875,247,4919,172,3,153,45
728,875,230,4719,145,3,160,45
728,875,170,4691,110,3,167,45
728,875,191,2038,101,3,167,70
728,875,189,1988,104,3,160,70
728,875,314,1811,173,3,146,70
728,875,342,1797,181,3,139,70
728,875,400,2019,212,3,132,70
728,875,164,2089,84,3,174,70
728,875,127,2010,59,3,184,70
728,875,108,2041,57,3,194,70
728,875,89,2034,51,3,202,70
